ID;Cliente;RAMA_ACTIVIDAD;DESCRIPCION_RAMA;Efectivo_y_Equiv;ACTIVOS_CORRIENTES;Otros_Act_Corr;Otros_Act_No_Corr;ACTIVOS_NO_CORRIENTES;ACTIVO;Credito_Mutuo;Oblig_emit_por_corr;Arrend_Financiero_CxP;Imp_Renta_CxP;PASIVOS_CORRIENTES;Credito_Mutuo_No_corr;Oblig_emit_porc_No_corr;Arrend_Financiero_CxP_No_Corr;Pas_Imp_Renta_Dif_No_Corr;PASIVOS_NO_CORRIENTES;PASIVO;Capital;Futuras_capitalizaciones;PATRIMONIO;PART_TRABAJADORES;IMPUESTO_CAUSADO;Ganancias_Act_Disc;INGRESOS;G_Perdidas_Act_Disc;COSTOS;GASTOS;CxC_DxC_Corr;Otros_Act_Fin_Corr;Arren_Fin_CxC;Imp_bruto_const;Activos_x_Imp_corr;Inventarios;Act_No_Corr_Venta;Act_Biologicos_corr;Pagos_anticipos;Propiedad_Planta_Equ;Act_Intang;Prop_Inversion;Act_Biologicos_No_Corr;Act_Para_Rec_Minerales;Inversiones_No_Corr;CxC_DxC_No_Corr;Otros_Act_Fin_No_Corr;Arren_Fin_CxC_No_Corr;Act_Imp_Diferido;CxP_DxP_Corr;Obli_inst_fin_corr;Otros_Pas_fin_Corr;Benf_Emp_Corr;Prov_Corr;Pas_Ing_Dif_Corr;Otros_Pas_Corr;CxP_DxP_No_Corr;Int_Financieras_No_Corr;Otros_Pas_Fin_No_Corr;Benf_Emp_No_Corr;Prov_No_Corr;Pas_Ing_Dif_No_Corr;Otros_Pas_No_Corr;Cap_Sus_No_Pagado;Reservas;Res_Acum;Otros_Res_Int_Acum;Ing_Act_Ord;Otros_Ing;Ing_Finc;VAL_ING;Costo_de_Venta;C_Gastos_Benf_Empl;C_Gastos_Dep;C_Gastos_Amort;C_Perdidas_deterioro;C_Gasto_Provis;C_Perdida_Venta_Act;C_Otros_Gastos;VAL_COSTOS;G_Costo_de_Venta;G_Gastos_Benf_Empl;G_Gastos_Dep;G_Gastos_Amort;G_Perdidas_deterioro;G_Gasto_Provis;G_Perdida_Venta_Act;G_Otros_Gastos;G_Gastos_Financieros;VAL_GASTOS;T_COMPRAS_IMPORT;COSTO_NOMINA;GASTO_NOMINA;VAL_ACT_CORRIENTE;VAL_ACT_NO_CORR;VAL_PAS_CORR;VAL_PAS_NO_CORR;VAL_PATRIMONIO
11;Si;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;2163306,82;2798617,79;0;0;22919719,7;25718337,5;0;0;0;29163,48;286951,97;0;0;0;0;0;286951,97;12599799;218,1;25431385,5;0;0;0;0;0;0;0;635310,97;0;0;0;0;0;0;0;0;0;3967,24;1252969,92;0;0;21662782,5;0;0;0;0;257788,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2724887,14;10106481,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,0399999991059303;-5,82076609134674E-011;0;,00999999791383743
12;Si;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;54711,5;2665933,38;0;0;9773786,06;12439719,4;0;0;0;0;3891320,35;0;0;0;0;1519379,69;5410700,04;4745272;0;7029019,4;0;0;0;0;0;0;0;2133226,75;0;0;0;206893,82;239335,49;0;0;31765,82;9442962,32;0;0;0;0;262256,84;0;0;0;68566,9;2740116,67;539317,2;0;165638,91;239325,79;5912,28;201009,5;433745;148823,48;0;667744,6;0;0;269066,61;-44448,45;719694,66;1464223,73;144277,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,86264514923096E-009;4,65661287307739E-010;-2,3283064365387E-010;0
13;Si;C;INDUSTRIAS MANUFACTURERAS.;471413,3;6562387,61;0;0;1390084,33;7952471,94;0;239612,26;0;0;2326962,57;0;603512,57;0;0;1038872,78;3365835,35;1132620;0;4586636,59;41002,07;0;0;0;0;0;0;93755,51;0;0;0;81454,18;5558404,77;0;0;357359,85;945382,59;415263,33;0;0;0;0;0;0;0;29438,41;1559081,13;0;0;195553;0;141490,15;191226,03;0;0;0;222142,67;213217,54;0;0;0;665210,82;2925229,34;-136423,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,31322574615479E-010;2,3283064365387E-010;0;1,16415321826935E-010;0
14;Si;G;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.;502020,94;1936197,07;109742,5;4598,58;807208,16;2743405,23;0;0;0;1651,11;725195,38;0;0;0;0;434093,2;1159288,58;400000;0;1584116,65;17219,28;0;0;0;0;0;0;456936,32;0;0;0;70046,81;785588,11;0;0;11862,39;763543,65;8047,85;0;0;0;0;0;0;0;31018,08;542226,25;115598,09;0;49998,65;0;5288,15;10433,13;136638,82;159165,38;0;138289;0;0;0;0;131576,6;944787,76;107752,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,16415321826935E-010;0;0;-2,3283064365387E-010
15;Si;C;INDUSTRIAS MANUFACTURERAS.;1745255,1;36383138,3;0;0;19239949,1;55623087,4;0;0;0;94710,31;19118762;0;0;2201341;0;2761963,01;21880725;2998436;0;33742362,4;727862,83;0;0;0;0;0;0;26754168,23;0;0;0;87395,37;7796319,56;0;0;0;18984543,58;243261,67;0;0;0;0;0;0;0;12143,83;17395642,82;0;0;1115820,09;512588,72;0;0;0;0;0;560622,01;0;0;0;0;1561212,53;29182713,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,0399999991059303;,0200000032782555;,0599999986588955;0;-,0500000044703484
16;Si;C;INDUSTRIAS MANUFACTURERAS.;527268,9;7805727,69;3612,75;0;3996276,14;11802003,8;0;0;0;7517,79;7149184,77;0;0;0;0;949813,83;8098998,6;1580216;0;3703005,23;49788,04;0;0;0;0;0;0;4295967,79;0;0;0;0;2887465,28;0;0;91412,97;3962972,14;0;0;0;0;0;0;0;0;33304;3513683,05;3269853,63;0;245782,47;0;3987,33;108360,5;0;481040,69;0;468773,14;0;0;0;0;782655,84;11953,3;1328180,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9,31322574615479E-010;1,39698386192322E-009;0;-1,16415321826935E-010;0
17;Si;C;INDUSTRIAS MANUFACTURERAS.;2400499,18;61558034,7;0;525420,92;61881947;123439982;0;1313394,57;0;788231,05;55407988,4;0;154954,45;0;0;13369672,1;68777660,6;26601100;0;54662321,1;521220,44;0;0;0;0;0;0;25916428,71;0;0;0;3466640,68;29115957,83;0;0;658508,34;55805881,61;81647,76;0;0;0;81560,44;5260943,95;0;0;126492,42;14447001,97;33772546,39;0;3834944,36;0;543255,12;708614,94;0;11098532,85;0;2116184,84;0;0;0;0;4668231,31;14208625,47;9184364,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-,0399999916553497;-,0999999940395355;0;-,0400000009685755;-,0299999937415123
18;Si;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;6288091,16;48345335,4;22765,2;0;32582219,2;80927554,6;0;0;0;190394,77;14500000,4;0;0;0;0;7640376,17;22140376,6;43318354;0;58787178;762198,48;0;0;0;0;0;0;7779873,33;0;0;0;21326,66;33745312,78;0;0;487966,33;31928391,77;141697,96;0;0;0;0;0;0;0;512129,36;5682590,77;4934123,45;0;3035656,87;102224,71;555009,84;0;731241,85;0;0;6909134,32;0;0;0;0;2709193,83;12759630,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-,0599999949336052;,109999995678663;-,00999999977648258;0;-,0300000011920929
19;Si;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;5814373,96;19305129,3;0;0;10693616,7;29998746,1;0;0;1129475;403559,39;9182519,21;0;0;6187243,63;0;6977579,82;16160099;417400;1376058;13838647;554932,53;0;0;0;0;0;0;12679683,89;0;0;0;0;811071,44;0;0;0;8118385,44;200107,24;0;0;0;373389,66;1753587,3;0;0;248147,08;6371009,12;0;0;1128855,07;149620,63;0;0;0;0;0;790336,19;0;0;0;0;148646,1;11896542,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,0100000016391277;-,0199999995529652;1,86264514923096E-009;0;-,0199999995529652
20;Si;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;3004,1;31314,23;0;0;0;31314,23;0;0;0;0;2737,39;0;0;0;0;439,73;3177,12;2000;3000;28137,11;40,43;0;0;0;0;0;0;26000;0;0;0;2310,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2737,39;0;0;0;431,11;8,62;0;0;0;0;0;0;0;23137,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
